"","VALUE","COUNT","EVT_NAME","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP_N","EVT_ORDER","EVT_CLASS","EVT_SBCLS","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",7303,113835,"Northeastern Interior Dry-Mesic Oak Forest","Tr Northeastern Interior Dry-Mesic Oak Forest","Tree","Hardwood","White Oak-Red Oak-Hickory Forest and Woodland","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",25316.2946086596,10245.15,28.4138561073504,0.333333,0.733333,0.760784,"85","187","194"
"2",7320,77186,"Central and Southern Appalachian Montane Oak Forest","Tr Central and Southern Appalachian Montane Oak Forest","Tree","Hardwood","Montane Oak Forest","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",17165.7532012474,6946.74,19.2660596257913,0.333333,0.733333,0.760784,"85","187","194"
"3",7511,47416,"Appalachian Northern Hardwood Forest","Tr Appalachian Northern Hardwood Forest","Tree","Hardwood","Pine-Hemlock-Hardwood Forest","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",10545.0645685791,4267.44,11.8353002256435,0,0.14902,0.45098,"0","38","115"
"4",7321,24858,"South-Central Interior Mesophytic Forest","Tr South-Central Interior Mesophytic Forest","Tree","Hardwood","Beech-Maple-Basswood Forest","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",5528.28612801036,2237.22,6.20469657940454,0,0.14902,0.45098,"0","38","115"
"5",7977,19809,"Eastern Cool Temperate Pasture and Hayland","Dab Pasture and Hayland","Herb","Agricultural","Agricultural-Pasture and Hayland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",4405.41555675264,1782.81,4.94443778829449,0.890196,0.831373,0.109804,"227","212","28"
"6",7557,13671,"Central Appalachian Pine-Oak Rocky Woodland","Tr Central Appalachian Rocky Pine-Oak Woodland","Tree","Conifer-Hardwood","Chestnut Oak-Virginia Pine Forest and Woodland","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",3040.35721522365,1230.39,3.41235847361169,0.05098,0.270588,0.521569,"13","69","133"
"7",7512,10809,"Appalachian (Hemlock)-Northern Hardwood Forest","Tr Appalachian Hemlock-Northern Hardwood Forest","Tree","Conifer-Hardwood","Pine-Hemlock-Hardwood Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",2403.86373632891,972.81,2.6979871802552,0,0.14902,0.45098,"0","38","115"
"8",7350,10391,"Central and Southern Appalachian Spruce-Fir Forest","Tr Central and Southern Appalachian Spruce-Fir Forest","Tree","Conifer","Spruce-Fir-Hardwood Forest","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",2310.90277400256,935.19,2.59365202979293,0.623529,1,0.501961,"159","255","128"
"9",9817,10064,"Northern & Central Ruderal Meadow","Sh Northern & Central Ruderal Meadow & Shrubland","Herb","Exotic Herbaceous","Introduced Perennial Grassland and Forbland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",2238.17972452716,905.76,2.51203099103417,1,0.411765,0.180392,"255","105","46"
"10",7556,9324,"Central Appalachian Oak Rocky Woodland","Tr Central Appalachian Rocky Oak Woodland","Tree","Hardwood","Chestnut Oak-Virginia Pine Forest and Woodland","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",2073.60768595899,839.16,2.32732282992871,0.05098,0.270588,0.521569,"13","69","133"
"11",7299,8790,"Developed-Roads","Bau Developed-Roads","Developed","Developed-Roads","Developed-Roads","No Dominant Lifeform","No Dominant Lifeform","Developed",1954.84894461385,791.1,2.19403342718505,0.003922,0.003922,0.003922,"1","1","1"
"12",9315,7818,"Northern & Central Native Ruderal Forest","Tr Northern & Central Native Ruderal Forest","Tree","Conifer-Hardwood","Ruderal Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",1738.68134800809,703.62,1.9514167615168,1,0.411765,0.180392,"255","105","46"
"13",7377,5894,"Central Appalachian Pine Rocky Woodland","Tr Central Appalachian Rocky Pine Woodland","Tree","Conifer","Chestnut Oak-Virginia Pine Forest and Woodland","Tree-dominated","Open tree canopy","Evergreen open tree canopy",1310.79404773083,530.46,1.47117554264262,0.05098,0.270588,0.521569,"13","69","133"
"14",7463,4914,"Central Appalachian Dry Oak Forest","Tr Central Appalachian Dry Oak Forest","Tree","Hardwood","Chestnut Oak-Virginia Pine Forest and Woodland","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",1092.84729395136,442.26,1.22656203198946,0.05098,0.270588,0.521569,"13","69","133"
"15",7905,4755,"Eastern Cool Temperate Urban Deciduous Forest","Dtd Urban Deciduous Forest","Tree","Developed","Developed-Upland Deciduous Forest","Tree-dominated","Open tree canopy","Deciduous open tree canopy",1057.48654512387,427.95,1.1868747379141,0.439216,0.266667,0.537255,"112","68","137"
"16",9224,4689,"South-Central Interior Small Stream and Riparian Forest","Tr Central Interior and Appalachian Riparian Systems","Tree","Riparian","Eastern Small Stream Riparian Forests","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",1042.80849844077,422.01,1.17040076678847,0,0.360784,0,"0","92","0"
"17",7502,3310,"Central Appalachian Dry Oak-Pine Forest","Tr Central Appalachian Dry Oak-Pine Forest","Tree","Conifer-Hardwood","Chestnut Oak-Virginia Pine Forest and Woodland","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",736.126280622507,297.9,0.826194612512231,0.05098,0.270588,0.521569,"13","69","133"
"18",7318,3192,"Southern and Central Appalachian Cove Forest","Tr Southern and Central Appalachian Cove Forest","Tree","Hardwood","Beech-Maple-Basswood Forest","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",709.883712310285,287.28,0.796741148984604,0.070588,0.298039,0.529412,"18","76","135"
"19",9312,3048,"Northeastern North American Temperate Forest Plantation","Tr Northeastern North American Temperate Forest Plantation","Tree","Conifer","Managed Tree Plantation","Tree-dominated","Open Tree Canopy","Evergreen open tree canopy",677.858883183505,274.32,0.760797939255975,0.619608,0.262745,0.054902,"158","67","14"
"20",9288,2907,"Northeastern Interior Calcareous Oak Forest","Tr Northeastern Interior Calcareous Oak Forest","Tree","Hardwood","White Oak-Red Oak-Hickory Forest and Woodland","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",646.501237996867,261.63,0.725603546396693,0.333333,0.733333,0.760784,"85","187","194"
"21",7292,2171,"Open Water","Ba Open Water","Water","Open Water","Open Water","Non-vegetated","Non-vegetated","Non-vegetated",482.818778015548,195.39,0.541893807783702,0,0,1,"0","0","255"
"22",7908,2121,"Eastern Cool Temperate Urban Herbaceous","Dgr Urban Herbaceous","Herb","Developed","Developed-Upland Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",471.69904567986,190.89,0.529413526627928,0.792157,0.478431,0.960784,"202","122","245"
"23",7907,1710,"Eastern Cool Temperate Urban Mixed Forest","Dtm Urban Mixed Deciduous-Evergreen Forest","Tree","Developed","Developed-Upland Mixed Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",380.29484588051,153.9,0.426825615527467,0.760784,0.619608,0.843137,"194","158","215"
"24",7370,1577,"Appalachian Hemlock Forest","Tr Appalachian Hemlock Forest","Tree","Conifer","Pine-Hemlock-Hardwood Forest","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",350.716357867581,141.93,0.393628067653108,0,0.14902,0.45098,"0","38","115"
"25",7197,542,"Recently Burned-Tree Cover","Tr Recently Burned-Tree Cover","Tree","Conifer","Transitional Forest Vegetation","Tree-dominated","Open tree canopy","Evergreen open tree canopy",120.537898518852,48.78,0.135286247728589,1,0.231373,0.078431,"255","59","20"
"26",7369,530,"Central Appalachian Dry Pine Forest","Tr Central Appalachian Dry Pine Forest","Tree","Conifer","Chestnut Oak-Virginia Pine Forest and Woodland","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",117.869162758287,47.7,0.132290980251203,0.05098,0.270588,0.521569,"13","69","133"
"27",7935,481,"Eastern Warm Temperate Developed Ruderal Deciduous Forest","Dtd Developed Ruderal Deciduous Forest","Tree","Developed","Developed-Upland Deciduous Forest","Tree-dominated","Open tree canopy","Deciduous open tree canopy",106.971825069313,43.29,0.120060304718545,0.25098,0.239216,0.658824,"64","61","168"
"28",9106,467,"High Allegheny Wetland","Tr Central Interior and Appalachian Swamp Systems","Tree","Riparian","Atlantic Swamp Forests","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",103.858300015321,42.03,0.116565825994928,0,0.360784,0,"0","92","0"
"29",7296,435,"Developed-Low Intensity","Bau Developed-Low Intensity","Developed","Developed-Low Intensity","Developed-Low Intensity","No Dominant Lifeform","No Dominant Lifeform","Developed",96.7416713204806,39.15,0.108578446055233,1,0.478431,0.560784,"255","122","143"
"30",9726,422,"South-Central Interior Small Stream and Riparian Herbaceous","Tr Central Interior and Appalachian Riparian Systems","Herb","Riparian","Eastern Small Stream Riparian Forests","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",93.8505409132018,37.98,0.105333572954732,0,0.360784,0,"0","92","0"
"31",9176,397,"North-Central Appalachian Seepage Fen","Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Herb","Riparian","Inland Marshes and Prairies","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",88.2906747453581,35.73,0.0990934323768446,0.356863,0.764706,0.780392,"91","195","199"
"32",7937,377,"Eastern Warm Temperate Developed Ruderal Mixed Forest","Dtm Developed Ruderal Deciduous-Evergreen Forest","Tree","Developed","Developed-Upland Mixed Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",83.8427818110832,33.93,0.094101319914535,0.266667,0.309804,0.537255,"68","79","137"
"33",7909,312,"Eastern Cool Temperate Urban Shrubland","Dsh Urban Shrubland","Shrub","Developed","Developed-Upland Shrubland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",69.3871297746895,28.08,0.077876954412029,0.811765,0.670588,0.843137,"207","171","215"
"34",7939,276,"Eastern Warm Temperate Developed Ruderal Grassland","Dgr Developed Ruderal Grassland","Herb","Developed","Developed-Upland Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",61.3809224929946,24.84,0.0688911519798718,0.478431,0.556863,0.960784,"122","142","245"
"35",7975,261,"Eastern Cool Temperate Close Grown Crop","Da Close Grown Crop","Agriculture","Agricultural","Agricultural-Close Grown Crop","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",58.0450027922883,23.49,0.0651470676331396,1,0.929412,0.466667,"255","237","119"
"36",7957,224,"Eastern Warm Temperate Developed Ruderal Mixed Forested Wetland","Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland","Tree","Developed","Developed-Wetland Mixed Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",49.8164008638797,20.16,0.055911659577867,0.266667,0.309804,0.537255,"68","79","137"
"37",7192,201,"Recently Logged-Shrub Cover","Sh Recently Logged-Shrub Cover","Shrub","Shrubland","Transitional Shrub Vegetation","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",44.7013239894634,18.09,0.050170730246211,1,0.266667,0.098039,"255","68","25"
"38",9314,182,"Northern & Central Native Ruderal Flooded & Swamp Forest","Tr Northern & Central Native Ruderal Flooded & Swamp Forest","Tree","Riparian","Ruderal Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",40.4758257019022,16.38,0.0454282234070169,1,0.411765,0.180392,"255","105","46"
"39",7317,159,"Allegheny-Cumberland Dry Oak Forest and Woodland","Tr Allegheny-Cumberland Dry Oak Forest and Woodland","Tree","Hardwood","Chestnut Oak Forest and Woodland","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",35.360748827486,14.31,0.0396872940753609,0.05098,0.270588,0.521569,"13","69","133"
"40",9317,156,"Northern & Central Ruderal Shrubland","Sh Northern & Central Ruderal Meadow & Shrubland","Shrub","Exotic Tree-Shrub","Introduced Upland Vegetation-Shrub","Shrub-dominated","Shrubland","Deciduous shrubland",34.6935648873448,14.04,0.0389384772060145,1,0.411765,0.180392,"255","105","46"
"41",7297,152,"Developed-Medium Intensity","Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity","Developed-Medium Intensity","No Dominant Lifeform","No Dominant Lifeform","Developed",33.8039863004898,13.68,0.0379400547135526,0.992157,0.172549,0.309804,"253","44","79"
"42",7352,152,"Southern Appalachian Montane Pine Forest and Woodland","Tr Southern Appalachian Montane Pine Forest and Woodland","Tree","Conifer","Pitch Pine Woodlands","Tree-dominated","Open tree canopy","Evergreen open tree canopy",33.8039863004898,13.68,0.0379400547135526,0.05098,0.270588,0.521569,"13","69","133"
"43",7906,127,"Eastern Cool Temperate Urban Evergreen Forest","Dtc Urban Evergreen Forest","Tree","Developed","Developed-Upland Evergreen Forest","Tree-dominated","Open tree canopy","Evergreen open tree canopy",28.244120132646,11.43,0.0316999141356656,0.666667,0.4,0.803922,"170","102","205"
"44",7936,124,"Eastern Warm Temperate Developed Ruderal Evergreen Forest","Dtc Developed Ruderal Evergreen Forest","Tree","Developed","Developed-Upland Evergreen Forest","Tree-dominated","Open tree canopy","Evergreen open tree canopy",27.5769361925048,11.16,0.0309510972663192,0.4,0.466667,0.803922,"102","119","205"
"45",7193,112,"Recently Logged-Tree Cover","Tr Recently Logged-Tree Cover","Tree","Conifer","Transitional Forest Vegetation","Tree-dominated","Open tree canopy","Evergreen open tree canopy",24.9082004319398,10.08,0.0279558297889335,1,0.266667,0.098039,"255","68","25"
"46",7191,77,"Recently Logged-Herb and Grass Cover","He Recently Logged-Herb and Grass Cover","Herb","Grassland","Transitional Herbaceous Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",17.1243877969586,6.93,0.0192196329798918,1,0.266667,0.098039,"255","68","25"
"47",9318,75,"Northern & Central Ruderal Wet Meadow & Marsh","He Northern & Central Ruderal Wet Meadow & Marsh","Herb","Riparian","Introduced Herbaceous Wetland Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",16.6795985035311,6.75,0.0187204217336608,1,0.411765,0.180392,"255","105","46"
"48",7959,29,"Eastern Warm Temperate Developed Ruderal Herbaceous Wetland","Dgr Developed Ruderal Herbaceous Wetland","Herb","Developed","Developed-Wetland Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",6.4494447546987,2.61,0.00723856307034885,0.478431,0.556863,0.960784,"122","142","245"
"49",7974,29,"Eastern Cool Temperate Row Crop","Da Row Crop","Agriculture","Agricultural","Agricultural-Row Crop","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",6.4494447546987,2.61,0.00723856307034885,0.980392,1,0.466667,"250","255","119"
"50",7938,22,"Eastern Warm Temperate Developed Ruderal Shrubland","Dsh Developed Ruderal Shrubland","Shrub","Developed","Developed-Upland Shrubland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",4.89268222770247,1.98,0.00549132370854051,0.619608,0.666667,0.843137,"158","170","215"
"51",7298,15,"Developed-High Intensity","Bau Developed-High Intensity","Developed","Developed-High Intensity","Developed-High Intensity","No Dominant Lifeform","No Dominant Lifeform","Developed",3.33591970070623,1.35,0.00374408434673216,0.678431,0,0.109804,"173","0","28"
"52",9724,14,"South-Central Interior Small Stream and Riparian Shrubland","Tr Central Interior and Appalachian Riparian Systems","Shrub","Riparian","Eastern Small Stream Riparian Forests","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",3.11352505399248,1.26,0.00349447872361669,0,0.360784,0,"0","92","0"
"53",7200,13,"Recently Disturbed Other-Tree Cover","Tr Recently Disturbed-Tree Cover","Tree","Conifer","Transitional Forest Vegetation","Tree-dominated","Open tree canopy","Evergreen open tree canopy",2.89113040727873,1.17,0.00324487310050121,1,0.266667,0.098039,"255","68","25"
"54",7976,9,"Eastern Cool Temperate Fallow/Idle Cropland","Dab Fallow/Idle Cropland","Herb","Agricultural","Agricultural-Fallow/Idle Cropland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",2.00155182042374,0.81,0.0022464506080393,1,1,0.466667,"255","255","119"
"55",7958,1,"Eastern Warm Temperate Developed Ruderal Shrub Wetland","Dsh Developed Ruderal Shrub Wetland","Shrub","Developed","Developed-Wetland Shrubland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",0.222394646713748,0.09,0.000249605623115478,0.619608,0.666667,0.843137,"158","170","215"
